,ddl,summerflag,winterflag,prem,year,pool,estimate,trued,bucketed,ddl_18,summerflag_18,winterflag_18,year_18,pool_18,factor_18,trued_18,bucketed_18,ddl_17,summerflag_17,winterflag_17,year_17,pool_17,factor_17,trued_17,bucketed_17,variation
13850,15.937999999999999,0,0,7723438,2019,ATL,1.221567,19.469334846,20.379,19.508,0.0,0.0,2018.0,ATL,1.2182,23.764645599999998,25.362,3.903,0.0,0.0,2017.0,ATL,1.2617,4.9244151,4.863,66.85035833333332
14153,74.122,0,0,7874411,2019,TRA,1.154433,85.568882826,87.708,51.34,0.0,0.0,2018.0,TRA,1.1404,58.54813600000001,48.29,13.698,0.0,0.0,2017.0,TRA,1.2324,16.8814152,16.24,931.1665773333334
14322,75.876,0,0,7989794,2019,ATL,1.221567,92.68761769200002,95.005,52.779,0.0,0.0,2018.0,ATL,1.2182,64.2953778,65.903,65.218,0.0,0.0,2017.0,ATL,1.2617,82.28555060000001,84.343,133.63218233333336
16168,0.629,0,0,8871657,2019,ATL,1.221567,0.7683656430000001,0.768,,-1.0,0.0,2018.0,ATL,1.2182,,,7.78,0.0,0.0,2017.0,ATL,1.2617,9.816026,9.978,25.568400500000003
16193,10.675999999999998,0,0,8882523,2019,ATL,1.221567,13.041449292,13.288,1.524,0.0,0.0,2018.0,ATL,1.2182,1.8565368,1.895,10.813,0.0,0.0,2017.0,ATL,1.2617,13.6427621,13.288,28.343899
16507,27.416999999999998,0,0,9025548,2019,AUG,1.3324,36.5304108,33.209,23.271,0.0,0.0,2018.0,AUG,1.361,31.671831,33.209,33.203,0.0,0.0,2017.0,AUG,1.2987,43.1207361,48.29,24.885289333333347
16928,268.628,0,0,9208420,2019,TRA,1.154433,310.113027924,317.866,214.112,0.0,0.0,2018.0,TRA,1.1404,244.17332480000002,250.278,229.342,0.0,0.0,2017.0,TRA,1.2324,282.6410808,289.707,791.2228253333329
17523,14.052,0,0,9466451,2019,ATL,1.221567,17.165459484,16.24,16.805,0.0,0.0,2018.0,ATL,1.2182,20.471850999999997,20.379,5.876,0.0,0.0,2017.0,ATL,1.2617,7.413749200000001,7.425,32.31150433333333
17538,31.325,0,0,9472461,2019,ATL,1.221567,38.265586275000004,48.29,24.103,0.0,0.0,2018.0,ATL,1.2182,29.3622746,33.209,35.118,0.0,0.0,2017.0,ATL,1.2617,44.30838060000001,48.29,31.312393
17584,14.104000000000001,0,0,9494698,2019,ATL,1.221567,17.228980968000002,16.24,8.421,0.0,0.0,2018.0,ATL,1.2182,10.258462199999999,11.225,3.79,0.0,0.0,2017.0,ATL,1.2617,4.781843,4.863,26.68687433333334
17836,3.897,0,0,9706851,2019,ATL,1.221567,4.760446599,4.863,13.074000000000002,0.0,0.0,2018.0,ATL,1.2182,15.926746800000002,16.24,13.819,0.0,0.0,2017.0,ATL,1.2617,17.435432300000002,16.24,30.536406333333343
17844,0.105,0,0,9712260,2019,ATL,1.221567,0.128264535,0.154,1.729,0.0,0.0,2018.0,ATL,1.2182,2.1062678,2.201,22.805,0.0,0.0,2017.0,ATL,1.2617,28.7730685,33.209,160.35419199999998
17863,17.319000000000006,0,0,9733295,2019,ATL,1.221567,21.156318873000007,20.379,20.136,0.0,0.0,2018.0,ATL,1.2182,24.5296752,25.362,28.426,0.0,0.0,2017.0,ATL,1.2617,35.8650842,33.209,33.337506333333295
18453,16.871,0,0,10157217,2019,ATL,1.221567,20.609056857,20.379,2.684,0.0,0.0,2018.0,ATL,1.2182,3.2696488,3.316,15.866,0.0,0.0,2017.0,ATL,1.2617,20.0181322,20.379,62.674352999999996
19218,7.8870000000000005,0,0,10537529,2019,ATL,1.221567,9.634498929000001,9.978,,-1.0,0.0,2018.0,ATL,1.2182,,,0.065,0.0,0.0,2017.0,ATL,1.2617,0.0820105,0.024,30.591842000000003
19449,55.94,0,0,10633593,2019,TRA,1.154433,64.57898202,66.193,52.976000000000006,0.0,0.0,2018.0,TRA,1.1404,60.41383040000001,61.924,39.446,0.0,0.0,2017.0,TRA,1.2324,48.6132504,48.29,77.31637200000003
19923,12.072000000000001,0,0,10906447,2019,TRA,1.154433,13.936315176,13.288,0.619,0.0,0.0,2018.0,TRA,1.1404,0.7059076000000001,0.768,50.044,0.0,0.0,2017.0,TRA,1.2324,61.67422559999999,63.216,669.3124363333333
19936,63.773,0,0,10911856,2019,TRA,1.154433,73.62165570900001,75.462,44.286,0.0,0.0,2018.0,TRA,1.1404,50.503754400000005,48.29,43.605,0.0,0.0,2017.0,TRA,1.2324,53.73880199999999,48.29,131.15919233333338
19975,3.674,0,0,10930487,2019,TRA,1.154433,4.241386842,4.349,11.554,0.0,0.0,2018.0,TRA,1.1404,13.176181600000001,13.288,1.776,0.0,0.0,2017.0,TRA,1.2324,2.1887423999999998,2.201,26.884348000000003
20272,28.364,0,0,11065905,2019,ATL,1.221567,34.648526388,33.209,16.177,0.0,0.0,2018.0,ATL,1.2182,19.7068214,20.379,12.437,0.0,0.0,2017.0,ATL,1.2617,15.6917629,16.24,69.36331633333334
20288,3.1069999999999998,0,0,11073525,2019,TRA,1.154433,3.5868233309999997,3.831,12.288,0.0,0.0,2018.0,TRA,1.1404,14.0132352,16.24,11.814,0.0,0.0,2017.0,TRA,1.2324,14.5595736,16.24,26.72121433333334
20415,21.788,0,0,11136536,2019,SNG,1.0985,23.934118,25.362,10.383,0.0,0.0,2018.0,SNG,1.0775,11.187682499999998,11.225,14.968,0.0,0.0,2017.0,SNG,1.1546,17.282052800000002,16.24,32.93477500000001
20470,30.004,0,0,11159468,2019,ATL,1.221567,36.651896268,33.209,46.827,0.0,0.0,2018.0,ATL,1.2182,57.04465139999999,48.29,35.657,0.0,0.0,2017.0,ATL,1.2617,44.988436899999996,48.29,73.28977299999998
21991,26.910999999999998,0,0,11888508,2019,ATL,1.221567,32.873589537,33.209,15.763,0.0,0.0,2018.0,ATL,1.2182,19.2024866,20.379,13.015,0.0,0.0,2017.0,ATL,1.2617,16.421025500000002,16.24,54.15470399999998
22077,292.524,0,0,11920226,2019,ATL,1.221567,357.337665108,366.271,273.607,0.0,0.0,2018.0,ATL,1.2182,333.3080474,341.641,273.525,0.0,0.0,2017.0,ATL,1.2617,345.1064925,353.734,119.80360233333332
22202,32.033,0,0,11978931,2019,ATL,1.221567,39.130455711,48.29,30.507,0.0,0.0,2018.0,ATL,1.2182,37.1636274,33.209,50.131,0.0,0.0,2017.0,ATL,1.2617,63.2502827,64.832,119.16127599999999
22301,55.788000000000004,0,0,12021761,2019,ATL,1.221567,68.14877979600001,69.852,46.249,0.0,0.0,2018.0,ATL,1.2182,56.3405318,48.29,55.19600000000001,0.0,0.0,2017.0,ATL,1.2617,69.64079320000002,71.382,28.56529900000003
22981,13.347000000000001,0,0,12309805,2019,ATL,1.221567,16.304254749000002,16.24,3.281,0.0,0.0,2018.0,ATL,1.2182,3.9969142,3.831,9.325,0.0,0.0,2017.0,ATL,1.2617,11.765352499999999,11.225,25.671796000000004
25445,0.003,0,0,13368059,2019,ATL,1.221567,0.0036647010000000002,0.024,,1.0,-1.0,2018.0,ATL,1.2182,,,7.535,0.0,1.0,2017.0,ATL,1.2617,9.5069095,9.978,28.365512
25953,8.662,0,0,13614553,2019,ATL,1.221567,10.581213354,11.225,13.485,0.0,0.0,2018.0,ATL,1.2182,16.427426999999998,16.24,0.153,0.0,0.0,2017.0,ATL,1.2617,0.1930401,0.154,45.56777233333334
26146,34.866,0,0,13704121,2019,ATL,1.221567,42.591155022,48.29,19.909,0.0,0.0,2018.0,ATL,1.2182,24.253143799999997,25.362,27.776,0.0,0.0,2017.0,ATL,1.2617,35.0449792,33.209,55.978273
26880,33.792,0,0,14103122,2019,MAC,1.2811,43.290931199999996,48.29,21.409,0.0,0.0,2018.0,MAC,1.2697,27.1830073,25.362,0.0,0.0,0.0,2017.0,MAC,1.3218,0.0,0.024,292.2638723333333
